id,name,location
1,"Stephen A. Schwarzman Building","476 5th Ave, New York, NY 10018"
2,"Mid-Manhattan Library","455 5th Ave, New York, NY 10016"
3,"New Amsterdam Library","9 Murray St, New York, NY 10007"
4,"Seward Park Library","192 E Broadway, New York, NY 10002"
5,"Grand Central Library","135 E 46th St, New York, NY 10017"
6,"Roosevelt Island Library","524 Main St, New York, NY 10044"
7,"Chatham Square Library","33 E Broadway, New York, NY 10002"
8,"Hamilton Grange Library","503 W 145th St, New York, NY 10031"
9,"Mulberry Street Library","10 Jersey St, New York, NY 10012"
10,"St. George Library Center","5 Central Ave, Staten Island, NY 10301"
